player,matches_played,wins,cb_opportunities,cb_successes,avg_rank,best_rank,win_rate,comeback_rate,ace_rate,df_rate,first_serve_in,first_serve_won,second_serve_won,srv_pts_won,bp_save_rate,ret_pts_won,bp_conv_rate,clutch_index,serve_style_score
Alejandro Tabilo,165,83,72,18,72.9030303030303,19.0,0.503030303030303,0.25,0.08510308479305534,0.0313129747325996,0.6431560998294839,0.7224632441552181,0.49739357080799307,0.6421485041078903,0.6231599607458292,0.35839340885684856,0.3949748743718593,0.36182079860539135,0.4688709716565557
Aleksandar Kovacevic,101,36,61,6,91.38613861386139,54.0,0.3564356435643564,0.09836065573770492,0.11853843333740682,0.04167175852376879,0.5940364169619944,0.7609545361036824,0.4948826008428657,0.652939019919345,0.6314907872696818,0.3159090909090909,0.3187855787476281,-0.9615344250029207,0.4230787138662697
Aleksandar Vukic,144,58,88,13,96.51388888888889,50.0,0.4027777777777778,0.14772727272727273,0.10721231081423861,0.023843747357740763,0.5900904709562864,0.7331995987963892,0.5061881188118812,0.640145429948423,0.6122661122661123,0.3287045023287908,0.34838709677419355,-0.7051724716333108,0.38823537483890047
Alex Bogomolov Jr,172,69,110,16,98.86627906976744,33.0,0.4011627906976744,0.14545454545454545,0.027875095201827876,0.03709063214013709,0.6907844630616908,0.6471885336273429,0.48251231527093597,0.5962680883472963,0.573262839879154,0.37647981183849466,0.4112903225806452,-0.13058668592988543,0.4580972700118294
Alex Calatrava,130,53,72,12,92.43076923076923,44.0,0.4076923076923077,0.16666666666666666,0.07474303961680472,0.023849915178125937,0.5965472507733759,0.7077617932418869,0.49121939154093497,0.6203971659515018,0.6116910229645094,0.3590192644483362,0.4014423076923077,0.3006285995119843,0.33181414893437833
Alex Corretja,253,149,106,32,33.027667984189726,7.0,0.5889328063241107,0.3018867924528302,0.058245833986313535,0.037611659614480486,0.5342945201901478,0.7120649198279233,0.5256309590577678,0.6252416026746069,0.6053550640279395,0.39778211315330114,0.3974489795918367,0.12206304873681809,0.14283936825320143
Alex De Minaur,495,309,197,54,27.973737373737375,6.0,0.6242424242424243,0.27411167512690354,0.049895222684951855,0.03291864505689806,0.5838881667948752,0.7113846992549518,0.5378976222349716,0.6391946735987692,0.6120236530880421,0.3975888227631478,0.4203129143463272,0.6670322437614764,0.24558271319672892
Alex Michelsen,151,77,75,19,58.35761589403973,32.0,0.5099337748344371,0.25333333333333335,0.06335299073294018,0.03159224936815501,0.6701769165964616,0.6999371464487744,0.509323116219668,0.6370682392586352,0.6123076923076923,0.36262428826378856,0.37703252032520324,-0.15644603274939564,0.4865944007314155
Alex Molcan,102,56,47,11,94.80392156862744,38.0,0.5490196078431373,0.23404255319148937,0.043179717417139836,0.030239006998547473,0.6504687706325102,0.6674786845310596,0.5183226293917642,0.6153439852106166,0.6024930747922438,0.3825253063399041,0.40895953757225434,0.29613989210490127,0.39351630639616403
Alexander Bublik,371,198,194,50,46.16981132075472,10.0,0.5336927223719676,0.25773195876288657,0.1514065085493657,0.07932294539437397,0.5948014340871484,0.7720528573084502,0.4554194316828314,0.6437534473248759,0.6369098712446352,0.34816883484162897,0.3866100895803866,0.42349141686366987,0.49805291958609577
Alexander Popp,108,44,54,7,129.3148148148148,81.0,0.4074074074074074,0.12962962962962962,0.053202190678439704,0.059014194702134794,0.6233374315412987,0.6937421552806168,0.4801186943620178,0.6132781938079803,0.5902777777777778,0.36536738351254483,0.4048913043478261,0.02134040428215056,0.349438783314555
Alexander Shevchenko,129,56,75,11,79.65116279069767,45.0,0.43410852713178294,0.14666666666666667,0.06370131830532354,0.03200161014390661,0.6058166448626346,0.6832225913621263,0.48659688537145773,0.6057160108684714,0.5688367129135539,0.3573410048289325,0.3884514435695538,-0.6389181397814679,0.32993077238566915
Alexander Zverev,764,534,262,96,18.51047120418848,2.0,0.6989528795811518,0.366412213740458,0.10651365494960373,0.043934779316495316,0.6734927392350536,0.7457089319175515,0.5069573283858998,0.6677547998451934,0.6156539134783696,0.38143192825972283,0.40705350938151497,0.47188365737335464,0.5907004360429818
Alexandr Dolgopolov,400,211,188,39,41.4175,13.0,0.5275,0.2074468085106383,0.09968024014617594,0.03598929783346385,0.5453210649960846,0.7466642733201699,0.5123071402942232,0.6401070216653615,0.5990318676885841,0.370344230213981,0.39386094674556216,-0.04854243782777749,0.26196798342599253
Alexandre Muller,127,54,78,17,80.14173228346456,38.0,0.4251968503937008,0.21794871794871795,0.04752686090407511,0.027683670506243346,0.6548252831284483,0.6677014042867702,0.4910263600673023,0.6067176459200465,0.5875370919881305,0.3613656964447578,0.39824120603015073,-0.15008392717708915,0.4138418297060851
Alexei Popyrin,252,106,142,27,72.6984126984127,19.0,0.42063492063492064,0.19014084507042253,0.1107370168803616,0.03971035882298681,0.6162715616640532,0.7459961083670109,0.4984375,0.6510008301817175,0.649617871840094,0.3349746829562874,0.32341772151898734,-0.5806219385744631,0.4601190620903271
Aljaz Bedene,280,130,154,34,80.70357142857142,43.0,0.4642857142857143,0.22077922077922077,0.10387671774158141,0.037581771084866315,0.5664925143785398,0.7417654808959157,0.4898723921409763,0.6325679413443386,0.5920709441836203,0.3588081774684645,0.3914238592633315,-0.20741053626176748,0.32309117217493255
Andre Agassi,343,262,97,33,5.422740524781341,1.0,0.7638483965014577,0.3402061855670103,0.07739027464761832,0.03342373658275717,0.6209175293173917,0.7422331590279914,0.5499798468359532,0.6693532984453188,0.6554433221099888,0.407565719170763,0.4261904761904762,1.4796004443933972,0.3973166120410925
Andre Sa,125,45,75,9,98.232,55.0,0.36,0.12,0.03497478811286343,0.03765690376569038,0.5945713979186783,0.6495849873691808,0.48795977771897325,0.5840575045595966,0.5494505494505495,0.385501066098081,0.40274599542334094,-0.6780192428859775,0.2385311143334447
Andrea Gaudenzi,106,39,61,10,86.88679245283019,52.0,0.36792452830188677,0.16393442622950818,0.0439985043001371,0.05434376168515518,0.5535335909260874,0.6845305111461383,0.48297040759352317,0.5945406955004362,0.5770142180094787,0.3826043860735968,0.38266666666666665,-0.6177374681268926,0.15821417005193256
Andreas Beck,104,40,61,10,108.0673076923077,33.0,0.38461538461538464,0.16393442622950818,0.05404118557314606,0.05166051660516605,0.5939769075110106,0.6935871743486974,0.5186162415713866,0.6225449351267707,0.618421052631579,0.34845911186605194,0.35340729001584786,-0.5098793325959161,0.27948298458344994
Andreas Haider Maurer,117,44,66,7,140.54700854700855,47.0,0.37606837606837606,0.10606060606060606,0.08760092910076318,0.06072337130848358,0.5602256387567747,0.7220138203356368,0.46956740442655936,0.6109943590310807,0.6070175438596491,0.3392217713058009,0.3748006379585327,-0.2844478110437391,0.27156167313989465
Andreas Seppi,788,371,447,95,57.52284263959391,18.0,0.47081218274111675,0.21252796420581654,0.06108364896963472,0.03376773448032355,0.5811131796880016,0.7043194874060981,0.5011494252873563,0.6192142261025871,0.5952965952965953,0.37486457204767065,0.40392732611488347,0.08382261808218888,0.26367902471402305
Andreas Vinciguerra,169,77,92,18,109.8036809815951,33.0,0.4556213017751479,0.1956521739130435,0.05971145025435744,0.036110416145442414,0.587690768076057,0.6983113381580814,0.49716828478964403,0.6153782003169044,0.6409168081494058,0.36745587602238483,0.4297606659729448,1.3136754012119356,0.2767172016199203
Andrei Pavel,376,197,152,27,60.76063829787234,13.0,0.523936170212766,0.17763157894736842,0.06528434321730411,0.025533591176049277,0.6451439621830684,0.6912572855953372,0.5027752548188515,0.6243732989543045,0.5932914046121593,0.3821547627491312,0.4124949939927913,0.21541024753559343,0.4296542635479516
Andrew Ilie,104,40,60,11,69.72115384615384,38.0,0.38461538461538464,0.18333333333333332,0.06329565734681737,0.040214158239143365,0.544913741820345,0.6941048034934498,0.4873202614379085,0.6,0.5778894472361809,0.36177389131792625,0.3533724340175953,-1.1640941857390668,0.1800476058667999
Andrey Golubev,177,65,93,7,84.96045197740114,33.0,0.3672316384180791,0.07526881720430108,0.055801520340823654,0.04352184445743881,0.5880878790410158,0.686221590909091,0.4990874062056378,0.6091387519839613,0.5884444444444444,0.3464379947229551,0.40162037037037035,-0.0708018524218455,0.2689924300935727
Andrey Kuznetsov,170,71,95,11,96.54491017964072,39.0,0.4176470588235294,0.11578947368421053,0.0635486265775798,0.037342242019302155,0.578173719376392,0.7114791987673343,0.4954241464273143,0.6203414996288048,0.5786423841059603,0.3691632491546154,0.369281045751634,-0.8475834467426435,0.2619709317399672
Andrey Rublev,590,374,246,69,32.68983050847458,5.0,0.6338983050847458,0.2804878048780488,0.09049558135505112,0.03318315716513603,0.6080835210535436,0.7520481584384128,0.5106665192881619,0.6574467163403223,0.634828188701223,0.38374922664466904,0.3910213243546577,0.4743230787784567,0.39506989394439695
Andy Murray,980,721,336,127,32.295918367346935,1.0,0.7357142857142858,0.37797619047619047,0.08524963068516074,0.03178068581438825,0.5829553030996301,0.742532292787944,0.5172878593147551,0.6485952963016224,0.6194387405886379,0.410583735657408,0.42579568482536656,0.8914947214322285,0.32193347931083116
Andy Roddick,799,599,226,77,17.535087719298247,1.0,0.7496871088861077,0.3407079646017699,0.15525896902167258,0.02690269201840158,0.6484633280274275,0.7924579197237808,0.5603821465890432,0.7108747747905333,0.6767433871521814,0.35904074350676296,0.3882424984690753,1.0970150299415729,0.6378892252446688
Antony Dupuis,188,72,104,13,94.58510638297872,57.0,0.3829787234042553,0.125,0.08902253651444056,0.033309100522106935,0.5936818452184257,0.7196927529778471,0.5113858165256994,0.6350538629304078,0.6246105919003115,0.33619756427604874,0.3364750235626767,-0.7340317643436511,0.35656421625455925
Arnaud Clement,527,260,260,44,56.020872865275145,10.0,0.49335863377609107,0.16923076923076924,0.06281437860385229,0.03337013863329653,0.5713900134952766,0.7091510284708207,0.5065834669109228,0.6223285486443381,0.5975172413793104,0.38031369643077684,0.3894566971490048,-0.1572287927526246,0.24374354160845263
Arthur Fils,159,97,69,19,40.9937106918239,14.0,0.610062893081761,0.2753623188405797,0.07767305817354567,0.03940526486837829,0.6180532986675333,0.7399763375838044,0.5130823229100191,0.6533149171270718,0.6297502714440825,0.3629641667343788,0.38811881188118813,0.33691263181171754,0.3909390664503815
Arthur Rinderknech,220,104,118,23,68.5,26.0,0.4727272727272727,0.19491525423728814,0.12175816773324352,0.03233411923206467,0.6364657011339396,0.7558652319633092,0.4899629400864731,0.6592006287189851,0.6564181398923905,0.326095651677047,0.34868421052631576,0.01243715450113958,0.5340305006785836
